 55 3871.829038 1.976E-31 3.041E-01.03950.042 2992.36580.67-.005925              2              0                    P 41      4756231011 5 5 1 8   162.0  166.0
 55 3877.646464 3.858E-31 3.065E-01.03990.042 2850.54920.67-.005902              2              0                    P 40      4756231011 5 5 1 8   158.0  162.0
 55 3883.408111 7.408E-31 3.089E-01.04030.043 2712.12640.67-.005878              2              0                    P 39      4756231011 5 5 1 8   154.0  158.0
 55 3889.113860 1.398E-30 3.114E-01.04080.043 2577.10220.67-.005855              2              0                    P 38      4756231011 5 5 1 8   150.0  154.0
 55 3894.763595 2.594E-30 3.138E-01.04130.044 2445.48130.67-.005831              2              0                    P 37      4756231011 5 5 1 8   146.0  150.0
 55 3900.357195 4.727E-30 3.163E-01.04170.044 2317.26820.67-.005807              2              0                    P 36      4756231011 5 5 1 8   142.0  146.0
 55 3905.894543 8.468E-30 3.189E-01.04220.045 2192.46750.67-.005784              2              0                    P 35      4756231011 5 5 1 8   138.0  142.0
 55 3905.919510 1.134E-31 1.018E+00.04710.050 3256.54960.71-.005563              3              1                    P 26      4756631011 5 5 2 8   102.0  106.0
 55 3910.857398 1.694E-31 1.027E+00.04770.051 3166.87870.71-.005537              3              1                    P 25      4756631011 5 5 2 8    98.0  102.0
 55 3911.375519 1.491E-29 3.214E-01.04270.045 2071.08340.67-.005760              2              0                    P 34      4756231011 5 5 1 8   134.0  138.0
 55 3915.737717 2.485E-31 1.035E+00.04830.051 3080.63100.72-.005510              3              1                    P 24      4756631011 5 5 2 8    94.0   98.0
 55 3916.800005 2.580E-29 3.240E-01.04320.046 1953.12020.67-.005736              2              0                    P 33      4756231011 5 5 1 8   130.0  134.0
 52 3919.035434 2.284E-31 3.241E-01.03660.039 4292.03300.67-.006087              2              0                    P 48      4756231011 5 5 1 8   190.0  194.0
 55 3920.560349 3.580E-31 1.044E+00.04900.052 2997.80950.72-.005483              3              1                    P 23      4756831011 5 5 2 8    90.0   94.0
 55 3922.167881 4.387E-29 3.266E-01.04380.046 1838.58200.67-.005712              2              0                    P 32      4756231011 5 5 1 8   126.0  130.0
 55 3925.325173 5.063E-31 1.053E+00.04960.053 2918.41710.73-.005454              3              1                    P 22      4756831011 5 5 2 8    86.0   90.0
 53 3925.396401 2.239E-31 3.264E-01.03740.040 3932.68460.70-.006041              2              0                    P 46      4756231011 5 5 3 8    91.0   93.0
 52 3925.635945 5.233E-31 3.267E-01.03700.039 4118.05440.67-.006064              2              0                    P 47      4756231011 5 5 1 8   186.0  190.0
 56 3927.370905 1.058E-31 3.271E-01.04030.043 2778.57730.67-.005878              2              0                    P 39      4756231011 5 5 1 8   924.0  948.0
 55 3927.479029 7.328E-29 3.292E-01.04430.047 1727.47280.67-.005688              2              0                    P 31      4756231011 5 5 1 8   122.0  126.0
 55 3930.032068 7.025E-31 1.062E+00.05030.053 2842.45660.73-.005424              3              1                    P 21      4756831011 5 5 2 8    82.0   86.0
 53 3931.848640 4.940E-31 3.290E-01.03780.040 3766.38940.70-.006018              2              0                    P 45      4756231011 5 5 3 8    89.0   91.0
 52 3932.177260 1.178E-30 3.293E-01.03740.040 3947.60110.67-.006041              2              0                    P 46      4756231011 5 5 1 8   182.0  186.0
 55 3932.733327 1.203E-28 3.319E-01.04480.047 1619.79640.67-.005663              2              0                    P 30      4756231011 5 5 1 8   118.0  122.0
 56 3933.243902 2.028E-31 3.297E-01.04080.043 2640.25960.67-.005855              2              0                    P 38      4756231011 5 5 1 8   900.0  924.0
 55 3934.680915 9.568E-31 1.071E+00.05100.054 2769.93060.74-.005392              3              1                    P 20      4756831011 5 5 2 8    78.0   82.0
 55 3937.930658 1.939E-28 3.346E-01.04540.048 1515.55650.67-.005639              2              0                    P 29      4756231011 5 5 1 8   114.0  118.0
 53 3938.241754 1.070E-30 3.317E-01.03820.040 3603.61900.70-.005995              2              0                    P 44      4756231011 5 5 3 8    87.0   89.0
 52 3938.659251 2.606E-30 3.320E-01.03780.040 3780.67920.67-.006018              2              0                    P 45      4756231011 5 5 1 8   178.0  182.0
 52 3939.008721 1.007E-31 1.051E+00.04130.044 4646.21310.70-.005831              3              1                    P 37      4656231011 5 5 2 8   146.0  150.0
 56 3939.058854 3.822E-31 3.324E-01.04130.044 2505.42670.67-.005831              2              0                    P 37      4756231011 5 5 1 8   876.0  900.0
 55 3939.271592 1.278E-30 1.081E+00.05170.055 2700.84170.74-.005359              3              1                    P 19      4756831011 5 5 2 8    74.0   78.0
 55 3943.070900 3.071E-28 3.374E-01.04600.049 1414.75690.67-.005614              2              0                    P 28      4756231011 5 5 1 8   110.0  114.0
 55 3943.803980 1.675E-30 1.090E+00.05240.056 2635.19220.75-.005323              3              1                    P 18      4756831011 5 5 2 8    70.0   74.0
 53 3944.575616 2.277E-30 3.343E-01.03860.041 3444.37910.70-.005972              2              0                    P 43      4756231011 5 5 3 8    85.0   87.0
 56 3944.815639 7.076E-31 3.350E-01.04170.044 2374.08340.67-.005807              2              0                    P 36      4756231011 5 5 1 8   852.0  876.0
 52 3944.918188 1.885E-31 1.060E+00.04170.044 4512.54480.70-.005807              3              1                    P 36      4656231011 5 5 2 8   142.0  146.0
 52 3945.081789 5.662E-30 3.346E-01.03820.040 3617.29500.67-.005995              2              0                    P 44      4756231011 5 5 1 8   174.0  178.0
 55 3948.153935 4.778E-28 3.401E-01.04650.049 1317.40090.67-.005589              2              0                    P 27      4756231011 5 5 1 8   106.0  110.0
 55 3948.277957 2.151E-30 1.100E+00.05310.057 2572.98460.75-.005284              3              1                    P 17      4756831011 5 5 2 8    66.0   70.0
 53 3949.624811 1.174E-31 1.067E+00.04270.045 4243.78180.70-.005760              3              1                    P 34      4656231011 5 5 2 8    67.0   69.0
