 55 1844.089379 1.876E-31 1.102E+01.03660.039 4079.67840.67-.002841              1              0                    P 48      47562310 8 5 5 1 8   190.0  194.0
 55 1848.870052 4.114E-31 1.111E+01.03700.039 3914.25010.67-.002837              1              0                    P 47      47562310 8 5 5 1 8   186.0  190.0
 55 1853.626068 8.870E-31 1.119E+01.03740.040 3752.17860.67-.002833              1              0                    P 46      47562310 8 5 5 1 8   182.0  186.0
 52 1854.259358 1.789E-31 1.154E+01.03450.037 5409.56850.67-.002872              1              0                    P 54      47562310 8 5 5 1 8   214.0  218.0
 55 1858.357312 1.881E-30 1.127E+01.03780.040 3593.46950.67-.002829              1              0                    P 45      47562310 8 5 5 1 8   178.0  182.0
 52 1859.478343 4.539E-31 1.163E+01.03480.037 5214.57690.67-.002866              1              0                    P 53      47562310 8 5 5 1 8   210.0  214.0
 53 1861.677406 2.199E-31 1.164E+01.03520.037 5004.12490.67-.002861              1              0                    P 52      47562310 8 5 5 1 8   103.0  105.0
 55 1863.063665 3.921E-30 1.135E+01.03820.040 3438.12830.67-.002826              1              0                    P 44      47562310 8 5 5 1 8   174.0  178.0
 52 1864.671631 1.132E-30 1.172E+01.03520.037 5023.07030.67-.002861              1              0                    P 52      47562310 8 5 5 1 8   206.0  210.0
 53 1866.822698 5.372E-31 1.173E+01.03550.038 4816.81370.67-.002856              1              0                    P 51      47562310 8 5 5 1 8   101.0  103.0
 55 1867.745009 8.036E-30 1.144E+01.03860.041 3286.16040.67-.002822              1              0                    P 43      47562310 8 5 5 1 8   170.0  174.0
 52 1869.839094 2.775E-30 1.181E+01.03550.038 4835.05580.67-.002856              1              0                    P 51      47562310 8 5 5 1 8   202.0  206.0
 53 1871.942171 1.290E-30 1.182E+01.03590.038 4632.98870.67-.002851              1              0                    P 50      47562310 8 5 5 1 8    99.0  101.0
 55 1872.401228 1.620E-29 1.152E+01.03900.041 3137.57120.67-.002819              1              0                    P 42      47562310 8 5 5 1 8   166.0  170.0
 51 1872.749298 2.532E-31 1.219E+01.03350.036 6289.18470.67-.002889              1              0                    P 57      47562310 8 5 5 1 8   113.0  115.0
 56 1873.361503 1.107E-31 1.169E+01.03740.040 3843.94610.67-.002833              1              0                    P 46      47562310 8 5 5 1 8  1092.0 1116.0
 52 1874.980602 6.684E-30 1.190E+01.03590.038 4650.54030.67-.002851              1              0                    P 50      47562310 8 5 5 1 8   198.0  202.0
 55 1877.032202 3.209E-29 1.161E+01.03950.042 2992.36580.67-.002817              1              0                    P 41      47562310 8 5 5 1 8   162.0  166.0
 53 1877.035698 3.043E-30 1.192E+01.03620.038 4452.65680.67-.002846              1              0                    P 49      47562310 8 5 5 1 8    97.0   99.0
 56 1878.223265 2.392E-31 1.178E+01.03780.040 3681.37980.67-.002829              1              0                    P 45      47562310 8 5 5 1 8  1068.0 1092.0
 51 1878.321932 7.078E-31 1.229E+01.03380.036 6074.53040.67-.002883              1              0                    P 56      47562310 8 5 5 1 8   111.0  113.0
 52 1880.096027 1.582E-29 1.200E+01.03620.038 4469.53050.67-.002846              1              0                    P 49      47562310 8 5 5 1 8   194.0  198.0
 55 1881.289555 1.423E-31 2.335E+01.04220.045 4217.07250.67-.002809              2              1                    P 35      47562310 8 5 5 1 8   138.0  142.0
 55 1881.637813 6.250E-29 1.169E+01.03990.042 2850.54920.67-.002815              1              0                    P 40      47562310 8 5 5 1 8   158.0  162.0
 53 1882.103150 7.056E-30 1.201E+01.03660.039 4275.82450.67-.002841              1              0                    P 48      47562310 8 5 5 1 8    95.0   97.0
 56 1883.059278 5.079E-31 1.187E+01.03820.040 3522.26110.67-.002826              1              0                    P 44      47562310 8 5 5 1 8  1044.0 1068.0
 51 1883.867653 1.943E-30 1.239E+01.03420.036 5863.48830.67-.002877              1              0                    P 55      47562310 8 5 5 1 8   109.0  111.0
 52 1885.185240 3.681E-29 1.209E+01.03660.039 4292.03300.67-.002841              1              0                    P 48      47562310 8 5 5 1 8   190.0  194.0
 55 1885.710175 2.485E-31 2.352E+01.04270.045 4096.74880.67-.002809              2              1                    P 34      47562310 8 5 5 1 8   134.0  138.0
 55 1886.217944 1.197E-28 1.177E+01.04030.043 2712.12640.67-.002813              1              0                    P 39      47562310 8 5 5 1 8   154.0  158.0
 52 1886.326755 1.662E-31 2.418E+01.03860.041 5522.57240.67-.002822              2              1                    P 43      47562310 8 5 5 1 8   170.0  174.0
 53 1887.144401 1.608E-29 1.210E+01.03700.039 4102.49840.67-.002837              1              0                    P 47      47562310 8 5 5 1 8    93.0   95.0
 56 1887.869416 1.060E-30 1.196E+01.03860.041 3366.59580.67-.002822              1              0                    P 43      47562310 8 5 5 1 8  1020.0 1044.0
 51 1889.386322 5.241E-30 1.249E+01.03450.037 5656.06660.67-.002872              1              0                    P 54      47562310 8 5 5 1 8   107.0  109.0
 55 1890.104599 4.267E-31 2.369E+01.04320.046 3979.81560.67-.002809              2              1                    P 33      47562310 8 5 5 1 8   130.0  134.0
 52 1890.248112 8.414E-29 1.218E+01.03700.039 4118.05440.67-.002837              1              0                    P 47      47562310 8 5 5 1 8   186.0  190.0
 54 1890.534174 1.485E-31 1.233E+01.03590.038 4740.88040.67-.002851              1              0                    P 50      47562310 8 5 5 1 8   594.0  606.0
