 55 8003.690936 7.650E-31 2.430E-05.06180.068   97.78300.75-.008596              4              0                    P  7      4756631011 5 5 1 8    26.0   30.0
 55 8007.908250 7.637E-31 2.549E-05.06320.069   73.34020.74-.008311              4              0                    P  6      4756631011 5 5 1 8    22.0   26.0
 55 8012.005113 7.285E-31 2.687E-05.06510.071   52.38770.74-.007975              4              0                    P  5      4756631011 5 5 1 8    18.0   22.0
 55 8015.981406 6.559E-31 2.859E-05.06770.074   34.92610.74-.007571              4              0                    P  4      4756631011 5 5 1 8    14.0   18.0
 55 8019.837006 5.441E-31 3.106E-05.07120.077   20.95620.74-.007077              4              0                    P  3      4756631011 5 5 1 8    10.0   14.0
 55 8023.571792 3.943E-31 3.569E-05.07570.081   10.47830.75-.006461              4              0                    P  2      4756631011 5 5 1 8     6.0   10.0
 55 8027.185644 2.107E-31 5.535E-05.08030.087    3.49280.76-.005676              4              0                    P  1      4756631011 5 5 1 8     2.0    6.0
 55 8034.050060 2.285E-31 1.971E-05.08030.087    0.00000.76-.006635              4              0                    R  0      4756631011 5 5 1 8     6.0    2.0
 55 8037.300381 4.638E-31 2.443E-05.07570.081    3.49280.75-.006951              4              0                    R  1      4756631011 5 5 1 8    10.0    6.0
 55 8040.429283 6.941E-31 2.704E-05.07120.077   10.47830.74-.007193              4              0                    R  2      4756631011 5 5 1 8    14.0   10.0
 55 8043.436644 9.077E-31 2.895E-05.06770.074   20.95620.74-.007390              4              0                    R  3      4756631011 5 5 1 8    18.0   14.0
 55 8046.322344 1.094E-30 3.057E-05.06510.071   34.92610.74-.007563              4              0                    R  4      4756631011 5 5 1 8    22.0   18.0
 55 8049.086261 1.243E-30 3.204E-05.06320.069   52.38770.74-.007723              4              0                    R  5      4756631011 5 5 1 8    26.0   22.0
 52 8050.825970 1.065E-31 1.016E-05.04380.046 1934.66690.67-.011515              4              0                    P 32      4756631011 5 5 1 8   126.0  130.0
 55 8051.728275 1.351E-30 3.343E-05.06180.068   73.34020.75-.007877              4              0                    R  6      4756631011 5 5 1 8    30.0   26.0
 55 8054.248264 1.414E-30 3.478E-05.06060.066   97.78300.75-.008031              4              0                    R  7      4756631011 5 5 1 8    34.0   30.0
 55 8056.646107 1.432E-30 3.611E-05.05950.065  125.71520.75-.008186              4              0                    R  8      4756631011 5 5 1 8    38.0   34.0
 52 8058.491912 1.901E-31 1.063E-05.04430.047 1817.76880.67-.011440              4              0                    P 31      4756631011 5 5 1 8   122.0  126.0
 55 8058.921684 1.407E-30 3.744E-05.05860.064  157.13580.75-.008343              4              0                    R  9      4756631011 5 5 1 8    42.0   38.0
 53 8058.942949 1.038E-31 1.148E-05.04540.048 1588.75510.67-.011286              4              0                    P 29      4756631011 5 5 1 8    57.0   59.0
 55 8061.074873 1.346E-30 3.877E-05.05770.063  192.04380.75-.008502              4              0                    R 10      4756631011 5 5 1 8    46.0   42.0
 55 8063.105553 1.256E-30 4.011E-05.05690.062  230.43790.74-.008663              4              0                    R 11      4756631011 5 5 1 8    50.0   46.0
 55 8065.013605 1.143E-30 4.147E-05.05610.060  272.31680.73-.008826              4              0                    R 12      4756631011 5 5 1 8    54.0   50.0
 52 8066.031138 3.328E-31 1.111E-05.04480.047 1704.48020.67-.011364              4              0                    P 30      4756631011 5 5 1 8   118.0  122.0
 53 8066.193851 1.746E-31 1.199E-05.04600.049 1483.09910.67-.011208              4              0                    P 28      4756631011 5 5 1 8    55.0   57.0
 55 8066.798906 1.017E-30 4.285E-05.05530.059  317.67910.72-.008991              4              0                    R 13      4756631011 5 5 1 8    58.0   54.0
 55 8068.461336 8.852E-31 4.425E-05.05450.059  366.52310.71-.009156              4              0                    R 14      4756631011 5 5 1 8    62.0   58.0
 55 8070.000774 7.539E-31 4.567E-05.05380.058  418.84720.70-.009321              4              0                    R 15      4756631011 5 5 1 8    66.0   62.0
 55 8071.417099 6.287E-31 4.711E-05.05310.057  474.64960.69-.009485              4              0                    R 16      4756631011 5 5 1 8    70.0   66.0
 55 8072.710191 5.136E-31 4.859E-05.05240.056  533.92830.68-.009649              4              0                    R 17      4756631011 5 5 1 8    74.0   70.0
 53 8073.318361 2.880E-31 1.252E-05.04650.049 1381.05110.67-.011127              4              0                    P 27      4756631011 5 5 1 8    53.0   55.0
 52 8073.443517 5.718E-31 1.162E-05.04540.048 1594.80530.67-.011286              4              0                    P 29      4756631011 5 5 1 8   114.0  118.0
 55 8073.879929 4.114E-31 5.009E-05.05170.055  596.68130.67-.009811              4              0                    R 18      4756631011 5 5 1 8    78.0   74.0
 55 8074.926192 3.229E-31 5.163E-05.05100.054  662.90630.67-.009972              4              0                    R 19      4756631011 5 5 1 8    82.0   78.0
 55 8075.848860 2.487E-31 5.319E-05.05030.053  732.60120.67-.010130              4              0                    R 20      4756631011 5 5 1 8    86.0   82.0
 55 8076.647811 1.877E-31 5.479E-05.04960.053  805.76340.67-.010286              4              0                    R 21      4756631011 5 5 1 8    90.0   86.0
 55 8077.322925 1.391E-31 5.642E-05.04900.052  882.39040.67-.010440              4              0                    R 22      4756631011 5 5 1 8    94.0   90.0
 55 8077.874082 1.011E-31 5.808E-05.04830.051  962.47970.67-.010591              4              0                    R 23      4756631011 5 5 1 8    98.0   94.0
