 61 4900.212150 1.380E-27 3.464E-04.04900.060 1592.35970.61-.009800    0 0 0 4  A1    0 0 0 0 1A1   16F1 25        17F2  1     353333594932 3 3 3    99.0  105.0
 61 4900.260410 3.290E-27 1.616E-05.05200.068  690.04940.64-.009801    0 0 0 4  E     0 0 0 0 1A1   10F2  3        11F1  3     353333594932 3 3 3    63.0   69.0
 61 4900.352640 1.170E-25 5.744E-04.05200.068  689.95690.64-.009801    0 0 0 4  E     0 0 0 0 1A1   10F2  3        11F1  2     353333594932 3 3 3    63.0   69.0
 61 4900.445330 1.140E-26 2.498E-04.04900.065  950.12950.63-.009801    0 0 0 4  F1    0 0 0 0 1A1   12E   6        13E   1     353333594932 3 3 3    50.0   54.0
 61 4900.516120 1.660E-26 2.425E-04.04900.065  950.13660.63-.009801    0 0 0 4  F1    0 0 0 0 1A1   12F2  8        13F1  2     353333594932 3 3 3    75.0   81.0
 61 4900.692240 1.190E-25 5.845E-04.05200.068  690.01760.64-.009801    0 0 0 4  E     0 0 0 0 1A1   10F1  2        11F2  3     353333594932 3 3 3    63.0   69.0
 61 4900.722820 2.740E-26 2.402E-04.04900.065  950.15390.63-.009801    0 0 0 4  F1    0 0 0 0 1A1   12A2  3        13A1  1     353333594932 3 3 3   125.0  135.0
 61 4900.831900 3.950E-27 1.939E-05.05200.068  689.87690.64-.009802    0 0 0 4  E     0 0 0 0 1A1   10F1  2        11F2  2     353333594932 3 3 3    63.0   69.0
 61 4900.970620 1.480E-26 4.061E-04.04900.065 1095.63210.62-.009802    0 0 0 4  F2    0 0 0 0 1A1   13F2 12        14F1  1     353333594932 3 3 3    81.0   87.0
 61 4901.658560 1.330E-26 3.650E-04.04900.065 1095.61940.62-.009803    0 0 0 4  F2    0 0 0 0 1A1   13F1 13        14F2  2     353333594932 3 3 3    81.0   87.0
 61 4903.354162 1.205E-27 1.632E-04.04600.060 1593.78440.61-.009800    0 3 0 0 1E     0 0 0 0 1A1   18A1 86        17A2  1     134332453638 7 1 7   185.0  175.0
 61 4903.519417 2.186E-27 1.718E-03.04500.058 1976.71770.60-.009800    0 3 0 0 1A1    0 0 0 0 1A1   20A1 92        19A2  2     134332453638 7 1 7   205.0  195.0
 61 4903.664560 4.900E-26 7.156E-04.04900.065  949.84160.63-.009807    0 0 0 4  F2    0 0 0 0 1A1   12F2  9        13F1  1     353333594932 3 3 3    75.0   81.0
