 61  872.726228 1.533E-30 2.205E-03.04100.055 4184.71090.57-.001745    0 0 0 1 1F2    0 0 0 0 1A1   27F1  6        28F2  3     333333574732 3 3 3   165.0  171.0
 63  874.242604 2.697E-28 2.117E-03.03140.052 1486.26680.75-.001680             V6         GROUND 16 13  A1      17 15  A2     335333362528 1 1 1   792.0  840.0
 63  875.646000 1.164E-28 2.784E-03.03180.052 1584.30180.75-.001680             V6         GROUND 17 12  E       18 14  E      335333362528 1 1 1   420.0  444.0
 63  876.887757 7.943E-29 3.055E-03.03190.051 1692.93210.75-.001690             V6         GROUND 18 11  E       19 13  E      335333362528 1 1 1   444.0  468.0
 61  876.977355 2.766E-30 2.385E-03.04100.055 4182.61720.57-.001754    0 0 0 1 1F2    0 0 0 0 1A1   27A1  2        28A2  1     333333574732 3 3 3   275.0  285.0
 61  876.981475 1.656E-30 2.380E-03.04100.055 4182.61280.57-.001754    0 0 0 1 1F2    0 0 0 0 1A1   27F1  7        28F2  2     333333574732 3 3 3   165.0  171.0
 61  876.983522 1.103E-30 2.378E-03.04100.055 4182.61080.57-.001754    0 0 0 1 1F2    0 0 0 0 1A1   27E   5        28E   2     333333574732 3 3 3   110.0  114.0
 61  879.024303 1.994E-30 7.812E-04.04100.055 3906.66750.57-.001758    0 0 0 1 1F2    0 0 0 0 1A1   26F1  1        27F2  7     333333574732 3 3 3   159.0  165.0
 61  879.032599 5.234E-30 1.230E-03.04100.055 3906.67580.57-.001758    0 0 0 1 1F2    0 0 0 0 1A1   26A1  1        27A2  3     333333574732 3 3 3   265.0  275.0
 61  879.850455 1.319E-30 5.177E-04.04100.055 3906.66750.57-.001760    0 0 0 1 1F2    0 0 0 0 1A1   26F1  2        27F2  7     333333574732 3 3 3   159.0  165.0
 61  879.964292 6.460E-30 2.536E-03.04100.055 3906.65890.57-.001760    0 0 0 1 1F2    0 0 0 0 1A1   26F2  3        27F1  7     333333574732 3 3 3   159.0  165.0
 61  879.977864 1.379E-29 3.248E-03.04100.055 3906.65040.57-.001760    0 0 0 1 1F2    0 0 0 0 1A1   26A2  1        27A1  2     333333574732 3 3 3   265.0  275.0
 61  880.069013 3.383E-30 1.328E-03.04100.055 3906.66750.57-.001760    0 0 0 1 1F2    0 0 0 0 1A1   26F1  3        27F2  7     333333574732 3 3 3   159.0  165.0
 61  880.332815 9.936E-30 2.343E-03.04100.055 3906.67580.57-.001761    0 0 0 1 1F2    0 0 0 0 1A1   26A1  2        27A2  3     333333574732 3 3 3   265.0  275.0
 61  880.560273 2.088E-30 8.208E-04.04100.055 3906.66750.57-.001761    0 0 0 1 1F2    0 0 0 0 1A1   26F1  4        27F2  7     333333574732 3 3 3   159.0  165.0
 61  880.687026 1.172E-30 4.608E-04.04100.055 3906.65890.57-.001761    0 0 0 1 1F2    0 0 0 0 1A1   26F2  4        27F1  7     333333574732 3 3 3   159.0  165.0
 61  880.771740 2.634E-30 1.027E-03.04100.055 3904.88720.57-.001762    0 0 0 1 1F2    0 0 0 0 1A1   26F2  1        27F1  6     333333574732 3 3 3   159.0  165.0
 61  880.793825 1.101E-29 4.293E-03.04100.055 3904.88720.57-.001762    0 0 0 1 1F2    0 0 0 0 1A1   26F2  2        27F1  6     333333574732 3 3 3   159.0  165.0
 61  880.847422 6.889E-30 4.028E-03.04100.055 3904.81570.57-.001762    0 0 0 1 1F2    0 0 0 0 1A1   26E   1        27E   4     333333574732 3 3 3   106.0  110.0
 61  880.983991 4.004E-30 1.561E-03.04100.055 3904.70800.57-.001762    0 0 0 1 1F2    0 0 0 0 1A1   26F1  1        27F2  6     333333574732 3 3 3   159.0  165.0
 61  881.736248 1.332E-30 5.205E-04.04100.055 3904.88720.57-.001763    0 0 0 1 1F2    0 0 0 0 1A1   26F2  3        27F1  6     333333574732 3 3 3   159.0  165.0
 61  881.789146 3.696E-30 2.166E-03.04100.055 3904.81570.57-.001764    0 0 0 1 1F2    0 0 0 0 1A1   26E   2        27E   4     333333574732 3 3 3   106.0  110.0
 61  881.810144 1.029E-29 4.018E-03.04100.055 3904.70800.57-.001764    0 0 0 1 1F2    0 0 0 0 1A1   26F1  2        27F2  6     333333574732 3 3 3   159.0  165.0
 61  881.918031 1.957E-29 7.607E-03.04100.055 3903.74070.57-.001764    0 0 0 1 1F2    0 0 0 0 1A1   26F2  1        27F1  5     333333574732 3 3 3   159.0  165.0
 61  881.940116 2.522E-30 9.804E-04.04100.055 3903.74070.57-.001764    0 0 0 1 1F2    0 0 0 0 1A1   26F2  2        27F1  5     333333574732 3 3 3   159.0  165.0
 61  882.272781 7.272E-30 4.236E-03.04100.055 3903.39040.57-.001765    0 0 0 1 1F2    0 0 0 0 1A1   26E   1        27E   3     333333574732 3 3 3   106.0  110.0
 61  882.458982 1.448E-30 5.667E-04.04100.055 3904.88720.57-.001765    0 0 0 1 1F2    0 0 0 0 1A1   26F2  4        27F1  6     333333574732 3 3 3   159.0  165.0
 61  882.464163 1.306E-29 5.070E-03.04100.055 3903.22780.57-.001765    0 0 0 1 1F2    0 0 0 0 1A1   26F1  1        27F2  5     333333574732 3 3 3   159.0  165.0
 63  882.751171 3.461E-28 1.567E-03.03340.055 1356.28890.75-.001700             V6         GROUND 15 13  A1      16 15  A2     335333362528 1 1 1   744.0  792.0
 61  882.792789 3.678E-29 8.560E-03.04100.055 3902.91580.57-.001766    0 0 0 1 1F2    0 0 0 0 1A1   26A1  1        27A2  2     333333574732 3 3 3   265.0  275.0
 61  883.214504 5.835E-30 3.406E-03.04100.055 3903.39040.57-.001766    0 0 0 1 1F2    0 0 0 0 1A1   26E   2        27E   3     333333574732 3 3 3   106.0  110.0
 61  883.290315 1.505E-30 5.853E-04.04100.055 3903.22780.57-.001767    0 0 0 1 1F2    0 0 0 0 1A1   26F1  2        27F2  5     333333574732 3 3 3   159.0  165.0
 61  883.472842 5.781E-30 2.238E-03.04100.055 3902.21900.57-.001767    0 0 0 1 1F2    0 0 0 0 1A1   26F1  1        27F2  4     333333574732 3 3 3   159.0  165.0
 61  883.508873 5.703E-30 2.219E-03.04100.055 3903.22780.57-.001767    0 0 0 1 1F2    0 0 0 0 1A1   26F1  3        27F2  5     333333574732 3 3 3   159.0  165.0
 61  883.597852 9.873E-30 3.821E-03.04100.055 3902.08300.57-.001767    0 0 0 1 1F2    0 0 0 0 1A1   26F2  2        27F1  4     333333574732 3 3 3   159.0  165.0
 61  884.093004 3.307E-30 7.719E-04.04100.055 3902.91580.57-.001768    0 0 0 1 1F2    0 0 0 0 1A1   26A1  2        27A2  2     333333574732 3 3 3   265.0  275.0
 63  884.277578 1.872E-28 2.479E-03.03390.054 1446.67430.75-.001700             V6         GROUND 16 12  E       17 14  E      335333362528 1 1 1   396.0  420.0
 61  884.517552 3.675E-30 1.426E-03.04100.055 3902.21900.57-.001769    0 0 0 1 1F2    0 0 0 0 1A1   26F1  3        27F2  4     333333574732 3 3 3   159.0  165.0
 61  884.540274 1.968E-30 7.632E-04.04100.055 3902.08300.57-.001769    0 0 0 1 1F2    0 0 0 0 1A1   26F2  3        27F1  4     333333574732 3 3 3   159.0  165.0
 61  884.949535 2.132E-30 8.221E-04.04100.055 3900.70920.57-.001770    0 0 0 1 1F2    0 0 0 0 1A1   26F2  1        27F1  3     333333574732 3 3 3   159.0  165.0
 61  884.972248 2.657E-30 1.537E-03.04100.055 3900.69090.57-.001770    0 0 0 1 1F2    0 0 0 0 1A1   26E   1        27E   2     333333574732 3 3 3   106.0  110.0
 61  885.008812 6.184E-30 2.402E-03.04100.055 3902.21900.57-.001770    0 0 0 1 1F2    0 0 0 0 1A1   26F1  4        27F2  4     333333574732 3 3 3   159.0  165.0
 61  885.263008 6.471E-30 2.514E-03.04100.055 3902.08300.57-.001771    0 0 0 1 1F2    0 0 0 0 1A1   26F2  4        27F1  4     333333574732 3 3 3   159.0  165.0
 61  885.344692 1.891E-30 7.352E-04.04100.055 3902.21900.57-.001771    0 0 0 1 1F2    0 0 0 0 1A1   26F1  5        27F2  4     333333574732 3 3 3   159.0  165.0
 61  885.372985 1.123E-30 4.363E-04.04100.055 3902.08300.57-.001771    0 0 0 1 1F2    0 0 0 0 1A1   26F2  5        27F1  4     333333574732 3 3 3   159.0  165.0
 63  885.658348 1.422E-28 2.910E-03.03410.054 1547.67290.75-.001700             V6         GROUND 17 11  E       18 13  E      335333362528 1 1 1   420.0  444.0
 61  885.879678 5.527E-30 1.282E-03.04100.055 3900.74830.57-.001772    0 0 0 1 1F2    0 0 0 0 1A1   26A2  1        27A1  1     333333574732 3 3 3   265.0  275.0
 61  885.914043 1.327E-30 5.128E-04.04100.055 3900.70920.57-.001772    0 0 0 1 1F2    0 0 0 0 1A1   26F2  3        27F1  3     333333574732 3 3 3   159.0  165.0
 63  886.857906 1.810E-28 3.021E-03.03400.053 1659.22920.75-.001700             V6         GROUND 18 10  A1      19 12  A2     335333362528 1 1 1   888.0  936.0
 61  887.672737 1.112E-30 4.275E-04.04100.055 3898.84520.57-.001775    0 0 0 1 1F2    0 0 0 0 1A1   26F1  2        27F2  3     333333574732 3 3 3   159.0  165.0
 61  887.766134 1.619E-29 3.770E-03.04100.055 3900.74830.57-.001776    0 0 0 1 1F2    0 0 0 0 1A1   26A2  2        27A1  1     333333574732 3 3 3   265.0  275.0
