 6113800.108148 7.170E-26 0.000E+00.05980.075    0.00000.75-.027600                                                            35443290785217 1 7     0.0    0.0
 6113800.167112 2.142E-26 0.000E+00.05980.075    0.00000.75-.027600                                                            33443290785217 1 7     0.0    0.0
 6113800.208794 1.391E-26 0.000E+00.05980.075    0.00000.75-.027600                                                            33443290785217 1 7     0.0    0.0
 6113801.174055 3.490E-26 0.000E+00.05980.075    0.00000.75-.027602                                                            34443290785217 1 7     0.0    0.0
 6113801.215704 3.291E-26 0.000E+00.05980.075    0.00000.75-.027602                                                            34443290785217 1 7     0.0    0.0
 6113801.263580 3.736E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            34443290785217 1 7     0.0    0.0
 6113801.328880 5.416E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            35443290785217 1 7     0.0    0.0
 6113801.392613 2.887E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            34443290785217 1 7     0.0    0.0
 6113801.435206 3.252E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            34443290785217 1 7     0.0    0.0
 6113801.533967 1.236E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            33443290785217 1 7     0.0    0.0
 6113801.574532 3.318E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            34443290785217 1 7     0.0    0.0
 6113801.656291 2.282E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            33443290785217 1 7     0.0    0.0
 6113801.715985 7.362E-26 0.000E+00.05980.075    0.00000.75-.027603                                                            35443290785217 1 7     0.0    0.0
 6113801.814534 1.840E-26 0.000E+00.05980.075    0.00000.75-.027604                                                            33443290785217 1 7     0.0    0.0
 6113801.854034 3.421E-26 0.000E+00.05980.075    0.00000.75-.027604                                                            34443290785217 1 7     0.0    0.0
 6113802.061366 3.460E-26 0.000E+00.05980.075    0.00000.75-.027604                                                            34443290785217 1 7     0.0    0.0
 6113802.115471 3.526E-26 0.000E+00.05980.075    0.00000.75-.027604                                                            34443290785217 1 7     0.0    0.0
 6113802.170056 4.883E-26 0.000E+00.05980.075    0.00000.75-.027604                                                            34443290785217 1 7     0.0    0.0
 6113802.207646 2.927E-26 0.000E+00.05980.075    0.00000.75-.027604                                                            34443290785217 1 7     0.0    0.0
 6113802.259066 2.298E-26 0.000E+00.05980.075    0.00000.75-.027605                                                            33443290785217 1 7     0.0    0.0
 6113802.309615 1.371E-26 0.000E+00.05980.075    0.00000.75-.027605                                                            33443290785217 1 7     0.0    0.0
 6113804.164460 1.216E-26 0.000E+00.05980.075    0.00000.75-.027608                                                            33443290785217 1 7     0.0    0.0
 6113804.220541 4.484E-26 0.000E+00.05980.075    0.00000.75-.027608                                                            34443290785217 1 7     0.0    0.0
 6113804.258887 3.284E-26 0.000E+00.05980.075    0.00000.75-.027609                                                            34443290785217 1 7     0.0    0.0
 6113804.306145 1.340E-26 0.000E+00.05980.075    0.00000.75-.027609                                                            33443290785217 1 7     0.0    0.0
 6113805.137933 8.649E-26 0.000E+00.05980.075    0.00000.75-.027610                                                            35443290785217 1 7     0.0    0.0
 6113805.246071 1.101E-25 0.000E+00.05980.075    0.00000.75-.027610                                                            36443290785217 1 7     0.0    0.0
 6113805.626447 2.650E-26 0.000E+00.05980.075    0.00000.75-.027611                                                            34443290785217 1 7     0.0    0.0
 6113805.731645 5.316E-26 0.000E+00.05980.075    0.00000.75-.027611                                                            35443290785217 1 7     0.0    0.0
 6113805.872728 1.211E-26 0.000E+00.05980.075    0.00000.75-.027612                                                            33443290785217 1 7     0.0    0.0
 6113805.912413 4.197E-26 0.000E+00.05980.075    0.00000.75-.027612                                                            34443290785217 1 7     0.0    0.0
 6113805.998888 3.057E-26 0.000E+00.05980.075    0.00000.75-.027612                                                            34443290785217 1 7     0.0    0.0
 6113806.055549 6.327E-26 0.000E+00.05980.075    0.00000.75-.027612                                                            35443290785217 1 7     0.0    0.0
 6113806.118729 6.585E-26 0.000E+00.05980.075    0.00000.75-.027612                                                            35443290785217 1 7     0.0    0.0
 6113806.422555 3.799E-26 0.000E+00.05980.075    0.00000.75-.027613                                                            34443290785217 1 7     0.0    0.0
 6113806.461338 4.417E-26 0.000E+00.05980.075    0.00000.75-.027613                                                            34443290785217 1 7     0.0    0.0
 6113806.510272 3.011E-26 0.000E+00.05980.075    0.00000.75-.027613                                                            34443290785217 1 7     0.0    0.0
 6113806.548262 1.491E-26 0.000E+00.05980.075    0.00000.75-.027613                                                            33443290785217 1 7     0.0    0.0
 6113806.948125 1.552E-26 0.000E+00.05980.075    0.00000.75-.027614                                                            33443290785217 1 7     0.0    0.0
 6113807.000169 7.271E-26 0.000E+00.05980.075    0.00000.75-.027614                                                            35443290785217 1 7     0.0    0.0
 6113807.038190 5.566E-26 0.000E+00.05980.075    0.00000.75-.027614                                                            35443290785217 1 7     0.0    0.0
 6113807.093564 2.311E-26 0.000E+00.05980.075    0.00000.75-.027614                                                            33443290785217 1 7     0.0    0.0
 6113808.634061 5.931E-26 0.000E+00.05980.075    0.00000.75-.027617                                                            35443290785217 1 7     0.0    0.0
 6113808.688837 1.005E-25 0.000E+00.05980.075    0.00000.75-.027617                                                            36443290785217 1 7     0.0    0.0
 6113809.832709 1.218E-25 0.000E+00.05980.075    0.00000.75-.027620                                                            36443290785217 1 7     0.0    0.0
 6113809.912253 4.148E-26 0.000E+00.05980.075    0.00000.75-.027620                                                            34443290785217 1 7     0.0    0.0
 6113810.214523 1.275E-25 0.000E+00.05980.075    0.00000.75-.027620                                                            36443290785217 1 7     0.0    0.0
 6113810.277731 3.772E-26 0.000E+00.05980.075    0.00000.75-.027621                                                            34443290785217 1 7     0.0    0.0
 6113810.516308 8.716E-26 0.000E+00.05980.075    0.00000.75-.027621                                                            35443290785217 1 7     0.0    0.0
 6113810.574628 2.871E-26 0.000E+00.05980.075    0.00000.75-.027621                                                            34443290785217 1 7     0.0    0.0
 6113810.887276 8.490E-26 0.000E+00.05980.075    0.00000.75-.027622                                                            35443290785217 1 7     0.0    0.0
 6113811.469107 8.872E-27 0.000E+00.05980.075    0.00000.75-.027623                                                            33443290785217 1 7     0.0    0.0
 6113811.502576 1.762E-26 0.000E+00.05980.075    0.00000.75-.027623                                                            33443290785217 1 7     0.0    0.0
 6113811.555689 8.999E-26 0.000E+00.05980.075    0.00000.75-.027623                                                            35443290785217 1 7     0.0    0.0
 6113811.598370 2.096E-26 0.000E+00.05980.075    0.00000.75-.027623                                                            33443290785217 1 7     0.0    0.0
 6113812.792682 4.258E-26 0.000E+00.05980.075    0.00000.75-.027626                                                            34443290785217 1 7     0.0    0.0
 6113812.873099 1.001E-25 0.000E+00.05980.075    0.00000.75-.027626                                                            36443290785217 1 7     0.0    0.0
 6113812.936143 2.908E-26 0.000E+00.05980.075    0.00000.75-.027626                                                            34443290785217 1 7     0.0    0.0
 6113813.054228 1.514E-26 0.000E+00.05980.075    0.00000.75-.027626                                                            33443290785217 1 7     0.0    0.0
 6113813.088815 4.217E-26 0.000E+00.05980.075    0.00000.75-.027626                                                            34443290785217 1 7     0.0    0.0
 6113813.130507 5.713E-26 0.000E+00.05980.075    0.00000.75-.027626                                                            35443290785217 1 7     0.0    0.0
 6113813.178207 2.400E-26 0.000E+00.05980.075    0.00000.75-.027626                                                            33443290785217 1 7     0.0    0.0
 6113814.094940 2.250E-26 0.000E+00.05980.075    0.00000.75-.027628                                                            33443290785217 1 7     0.0    0.0
 6113814.140986 3.690E-26 0.000E+00.05980.075    0.00000.75-.027628                                                            34443290785217 1 7     0.0    0.0
 6113814.223780 9.823E-27 0.000E+00.05980.075    0.00000.75-.027628                                                            33443290785217 1 7     0.0    0.0
 6113814.255254 2.852E-26 0.000E+00.05980.075    0.00000.75-.027629                                                            34443290785217 1 7     0.0    0.0
 6113814.597786 3.907E-26 0.000E+00.05980.075    0.00000.75-.027629                                                            34443290785217 1 7     0.0    0.0
 6113814.648449 9.150E-26 0.000E+00.05980.075    0.00000.75-.027629                                                            35443290785217 1 7     0.0    0.0
 6113814.704568 9.247E-27 0.000E+00.05980.075    0.00000.75-.027629                                                            33443290785217 1 7     0.0    0.0
 6113817.700569 6.980E-26 0.000E+00.05980.075    0.00000.75-.027635                                                            35443290785217 1 7     0.0    0.0
 6113818.303586 5.153E-26 0.000E+00.05980.075    0.00000.75-.027637                                                            35443290785217 1 7     0.0    0.0
 6113818.356279 3.644E-26 0.000E+00.05980.075    0.00000.75-.027637                                                            34443290785217 1 7     0.0    0.0
 6113818.401851 5.072E-26 0.000E+00.05980.075    0.00000.75-.027637                                                            35443290785217 1 7     0.0    0.0
 6113818.462561 3.944E-26 0.000E+00.05980.075    0.00000.75-.027637                                                            34443290785217 1 7     0.0    0.0
 6113818.499680 3.578E-26 0.000E+00.05980.075    0.00000.75-.027637                                                            34443290785217 1 7     0.0    0.0
 6113819.855922 7.720E-26 0.000E+00.05980.075    0.00000.75-.027640                                                            35443290785217 1 7     0.0    0.0
 6113820.081116 9.640E-26 0.000E+00.05980.075    0.00000.75-.027640                                                            35443290785217 1 7     0.0    0.0
 6113820.266808 2.726E-26 0.000E+00.05980.075    0.00000.75-.027641                                                            34443290785217 1 7     0.0    0.0
 6113820.318481 5.205E-26 0.000E+00.05980.075    0.00000.75-.027641                                                            35443290785217 1 7     0.0    0.0
 6113820.437660 5.472E-26 0.000E+00.05980.075    0.00000.75-.027641                                                            35443290785217 1 7     0.0    0.0
 6113820.476746 7.142E-26 0.000E+00.05980.075    0.00000.75-.027641                                                            35443290785217 1 7     0.0    0.0
 6113820.944388 5.283E-26 0.000E+00.05980.075    0.00000.75-.027642                                                            35443290785217 1 7     0.0    0.0
 6113820.998393 9.870E-27 0.000E+00.05980.075    0.00000.75-.027642                                                            33443290785217 1 7     0.0    0.0
 6113821.041413 3.731E-26 0.000E+00.05980.075    0.00000.75-.027642                                                            34443290785217 1 7     0.0    0.0
 6113821.088026 3.413E-26 0.000E+00.05980.075    0.00000.75-.027642                                                            34443290785217 1 7     0.0    0.0
 6113821.125356 1.409E-26 0.000E+00.05980.075    0.00000.75-.027642                                                            33443290785217 1 7     0.0    0.0
 6113821.487096 1.004E-25 0.000E+00.05980.075    0.00000.75-.027643                                                            36443290785217 1 7     0.0    0.0
 6113821.553647 1.204E-26 0.000E+00.05980.075    0.00000.75-.027643                                                            33443290785217 1 7     0.0    0.0
 6113821.823784 1.159E-26 0.000E+00.05980.075    0.00000.75-.027644                                                            33443290785217 1 7     0.0    0.0
 6113821.870661 4.214E-26 0.000E+00.05980.075    0.00000.75-.027644                                                            34443290785217 1 7     0.0    0.0
 6113821.925232 6.636E-26 0.000E+00.05980.075    0.00000.75-.027644                                                            35443290785217 1 7     0.0    0.0
 6113821.959992 8.928E-26 0.000E+00.05980.075    0.00000.75-.027644                                                            35443290785217 1 7     0.0    0.0
 6113822.048769 3.977E-26 0.000E+00.05980.075    0.00000.75-.027644                                                            34443290785217 1 7     0.0    0.0
 6113822.085481 4.524E-26 0.000E+00.05980.075    0.00000.75-.027644                                                            34443290785217 1 7     0.0    0.0
 6113822.416145 2.859E-26 0.000E+00.05980.075    0.00000.75-.027645                                                            34443290785217 1 7     0.0    0.0
 6113822.466271 2.728E-26 0.000E+00.05980.075    0.00000.75-.027645                                                            34443290785217 1 7     0.0    0.0
 6113822.520863 4.309E-26 0.000E+00.05980.075    0.00000.75-.027645                                                            34443290785217 1 7     0.0    0.0
 6113822.590898 6.104E-26 0.000E+00.05980.075    0.00000.75-.027645                                                            35443290785217 1 7     0.0    0.0
 6113822.644452 3.019E-26 0.000E+00.05980.075    0.00000.75-.027645                                                            34443290785217 1 7     0.0    0.0
 6113823.979479 4.605E-26 0.000E+00.05980.075    0.00000.75-.027648                                                            34443290785217 1 7     0.0    0.0
 6113824.013064 6.363E-26 0.000E+00.05980.075    0.00000.75-.027648                                                            35443290785217 1 7     0.0    0.0
 6113824.065849 1.900E-26 0.000E+00.05980.075    0.00000.75-.027648                                                            33443290785217 1 7     0.0    0.0
 6113824.106397 5.698E-26 0.000E+00.05980.075    0.00000.75-.027648                                                            35443290785217 1 7     0.0    0.0
 6113824.146712 1.619E-26 0.000E+00.05980.075    0.00000.75-.027648                                                            33443290785217 1 7     0.0    0.0
 6113824.480140 4.552E-26 0.000E+00.05980.075    0.00000.75-.027649                                                            34443290785217 1 7     0.0    0.0
 6113824.519935 3.365E-26 0.000E+00.05980.075    0.00000.75-.027649                                                            34443290785217 1 7     0.0    0.0
 6113824.732919 5.923E-26 0.000E+00.05980.075    0.00000.75-.027649                                                            35443290785217 1 7     0.0    0.0
 6113824.806630 3.955E-26 0.000E+00.05980.075    0.00000.75-.027650                                                            34443290785217 1 7     0.0    0.0
 6113824.916483 2.392E-26 0.000E+00.05980.075    0.00000.75-.027650                                                            33443290785217 1 7     0.0    0.0
 6113824.958111 2.780E-26 0.000E+00.05980.075    0.00000.75-.027650                                                            34443290785217 1 7     0.0    0.0
 6113825.069068 2.952E-26 0.000E+00.05980.075    0.00000.75-.027650                                                            34443290785217 1 7     0.0    0.0
 6113825.203606 2.789E-26 0.000E+00.05980.075    0.00000.75-.027650                                                            34443290785217 1 7     0.0    0.0
 6113825.256317 1.855E-26 0.000E+00.05980.075    0.00000.75-.027651                                                            33443290785217 1 7     0.0    0.0
 6113825.498252 4.362E-26 0.000E+00.05980.075    0.00000.75-.027651                                                            34443290785217 1 7     0.0    0.0
 6113825.774952 2.574E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            34443290785217 1 7     0.0    0.0
 6113825.813750 4.828E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            34443290785217 1 7     0.0    0.0
 6113825.856880 5.951E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            35443290785217 1 7     0.0    0.0
 6113825.897821 3.757E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            34443290785217 1 7     0.0    0.0
 6113825.961153 4.310E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            34443290785217 1 7     0.0    0.0
 6113826.009030 4.452E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            34443290785217 1 7     0.0    0.0
 6113826.058237 2.605E-26 0.000E+00.05980.075    0.00000.75-.027652                                                            34443290785217 1 7     0.0    0.0
 6113826.775619 1.342E-26 0.000E+00.05980.075    0.00000.75-.027654                                                            33443290785217 1 7     0.0    0.0
 6113826.810229 2.548E-26 0.000E+00.05980.075    0.00000.75-.027654                                                            34443290785217 1 7     0.0    0.0
 6113826.869891 4.047E-26 0.000E+00.05980.075    0.00000.75-.027654                                                            34443290785217 1 7     0.0    0.0
 6113828.009039 2.734E-26 0.000E+00.05980.075    0.00000.75-.027656                                                            34443290785217 1 7     0.0    0.0
 6113828.047296 2.674E-26 0.000E+00.05980.075    0.00000.75-.027656                                                            34443290785217 1 7     0.0    0.0
 6113828.121608 3.255E-26 0.000E+00.05980.075    0.00000.75-.027656                                                            34443290785217 1 7     0.0    0.0
 6113828.167530 8.656E-27 0.000E+00.05980.075    0.00000.75-.027656                                                            33443290785217 1 7     0.0    0.0
 6113828.691480 1.942E-26 0.000E+00.05980.075    0.00000.75-.027657                                                            33443290785217 1 7     0.0    0.0
