 41 4900.278330 1.748E-26 2.018E-03.06810.080 1419.60510.77-.004695        0 2 2 2        0 1 1 0                    P 44f     3655431410 5 3 3 3   783.0  801.0
 44 4900.287589 1.475E-28 1.801E-03.07070.086 1028.06560.81-.004640        0 2 2 2        0 1 1 0                    P 33e     3655431310 5 3 3 3   585.0  603.0
 43 4900.294610 2.997E-27 7.444E-03.06730.078  912.52550.76-.004629        3 2 0 0        0 0 0 0                    R 47e     3655431910 5 3 3 3   582.0  570.0
 41 4900.296810 1.661E-27 2.318E-05.07290.091  882.94290.75-.003570        2 5 1 0        0 1 1 0                    Q 26e     3655431410 5 3 3 3   477.0  477.0
 41 4900.315680 5.587E-27 1.715E-03.08800.110 1195.38960.71-.003391        0 3 1 2        0 2 2 0                    P  6e     3655431410 5 3 3 3    99.0  117.0
 41 4900.318160 2.060E-28 7.319E-03.06560.073 2662.71530.73-.004815        0 3 3 2        0 2 2 0                    Q 59f     3645431410 5 3 3 3  1071.0 1071.0
 41 4900.320440 5.280E-28 7.424E-02.07190.089 2801.37370.78-.004860        5 2 0 0        1 2 0 0                    R 28e     3655431410 5 3 3 3   531.0  513.0
 41 4900.326050 1.152E-26 1.160E-04.08200.105  644.20080.72-.003025        2 5 1 0        0 1 1 0                    Q 11f     3655431410 5 3 3 3   207.0  207.0
 41 4900.341070 1.909E-27 2.491E-05.07330.092  861.15820.74-.003549        2 5 1 0        0 1 1 0                    Q 25e     3655431410 5 3 3 3   459.0  459.0
 43 4900.354380 1.430E-27 3.725E-03.07650.098  724.06980.73-.004076        0 2 2 2        0 1 1 0                    Q 18f     3655431910 5 3 3 3   222.0  222.0
 41 4900.358900 5.641E-27 1.732E-03.08800.110 1195.38950.71-.003391        0 3 1 2        0 2 2 0                    P  6f     3655431410 5 3 3 3    99.0  117.0
 44 4900.382000 1.168E-27 1.623E-01.08460.107 1275.25970.72-.003758        5 0 0 0        1 0 0 0                    R  8e     3655431910 5 3 3 3   171.0  153.0
 41 4900.383180 2.190E-27 2.686E-05.07360.093  840.21040.74-.003526        2 5 1 0        0 1 1 0                    Q 24e     3655431410 5 3 3 3   441.0  441.0
 41 4900.384880 1.110E-28 3.553E-02.06850.081 3045.77660.78-.002256        012 0 0        0 4 0 0                    R 41e     3655431410 5 3 3 3   765.0  747.0
 43 4900.387790 1.341E-27 3.568E-03.07590.097  739.20240.73-.004117        0 2 2 2        0 1 1 0                    Q 19e     3655431910 5 3 3 3   234.0  234.0
 41 4900.395160 1.275E-28 1.182E-02.07150.088 2722.57050.79-.002033        012 4 0        0 4 4 0                    R 29f     3655431410 5 3 3 3   549.0  531.0
 41 4900.395460 1.275E-28 1.182E-02.07150.088 2722.57060.79-.002033        012 4 0        0 4 4 0                    R 29e     3655431410 5 3 3 3   549.0  531.0
 41 4900.413220 1.402E-27 3.458E-03.07830.101 1837.16850.72-.003642        0 4 2 2        0 3 1 0                    R 14e     3655431410 5 3 3 3   279.0  261.0
 41 4900.414220 1.318E-26 1.391E-04.08330.106  634.96240.72-.002959        2 5 1 0        0 1 1 0                    Q 10f     3655431410 5 3 3 3   189.0  189.0
