 71 8047.648430 1.866E-30 2.933E-07.02720.031 1420.25120.70-.002722       a      0       X      0                S 31R 32     q64554552322011 711    67.0   65.0
 71 8047.648430 2.087E-28 3.281E-05.02720.031 1420.25120.70-.002722       a      0       X      0                S 31R 32     d67554552322011 711    67.0   65.0
 73 8047.714899 6.143E-32 3.256E-05.02540.030 1467.93400.74-.004800       a      0       X      0                S 32R 33     d55554449251411 2 3   414.0  402.0
 72 8047.991800 2.695E-31 3.377E-05.02490.030 1517.63680.74-.004980       a      0       X      0                S 33R 34     d55554449221411 2 3    71.0   69.0
 72 8051.912628 1.773E-31 3.377E-05.02450.029 1609.28390.73-.004800       a      0       X      0                S 34R 35     d55554449221411 2 3    73.0   71.0
 71 8055.065518 2.556E-29 8.494E-08.03690.038  544.56510.74-.001000       a      0       X      0                T 19S 20     q64664252322011 7 9    45.0   41.0
 72 8055.784823 1.150E-31 3.375E-05.02410.029 1703.58510.73-.005049       a      0       X      0                S 35R 36     d55554449221411 2 3    75.0   73.0
 71 8056.081535 8.031E-31 2.942E-07.02540.030 1605.80130.69-.002764       a      0       X      0                S 33R 34     q64554552322011 711    71.0   69.0
 71 8056.081535 8.970E-29 3.286E-05.02540.030 1605.80130.69-.002764       a      0       X      0                S 33R 34     d67554552322011 711    71.0   69.0
 72 8059.607962 7.365E-32 3.376E-05.02380.028 1800.53660.72-.004800       a      0       X      0                S 36R 37     d55553449221411 2 3    77.0   75.0
 71 8064.307534 3.263E-31 2.951E-07.02350.029 1802.59200.68-.002802       a      0       X      0                S 35R 36     q64554552322011 711    75.0   73.0
 71 8064.307534 3.641E-29 3.293E-05.02350.029 1802.59200.68-.002802       a      0       X      0                S 35R 36     d67554552322011 711    75.0   73.0
 71 8070.274772 1.558E-29 8.450E-08.03520.037  662.10210.73-.001000       a      0       X      0                T 21S 22     q64664252322011 7 9    49.0   45.0
 71 8072.322630 1.253E-31 2.963E-07.02150.028 2010.59120.76-.002802       a      0       X      0                S 37R 38     q64553552322011 711    79.0   77.0
 71 8072.322630 1.396E-29 3.301E-05.02150.028 2010.59120.76-.002802       a      0       X      0                S 37R 38     d67553552322011 711    79.0   77.0
 71 8080.122904 4.545E-32 2.974E-07.01940.027 2229.76490.76-.002802       a      0       X      0                S 39R 40     q64553552322011 711    83.0   81.0
 71 8080.122904 5.061E-30 3.312E-05.01940.027 2229.76490.76-.002802       a      0       X      0                S 39R 40     d67553552322011 711    83.0   81.0
 71 8085.285402 8.943E-30 8.424E-08.03340.036  791.03310.73-.001000       a      0       X      0                T 23S 24     q64664252322011 7 9    53.0   49.0
 71 8087.704313 1.559E-32 2.987E-07.01720.026 2460.07750.76-.002802       a      0       X      0                S 41R 42     q64553552322011 711    87.0   85.0
 71 8087.704313 1.735E-30 3.324E-05.01720.026 2460.07750.76-.002802       a      0       X      0                S 41R 42     d67553552322011 711    87.0   85.0
 71 8095.062686 5.624E-31 3.337E-05.01490.025 2701.49120.76-.002802       a      0       X      0                S 43R 44     d67553552322011 711    91.0   89.0
 71 8100.093350 4.837E-30 8.409E-08.03170.034  931.33730.73-.001000       a      0       X      0                T 25S 26     q64554252322011 7 9    57.0   53.0
 71 8102.193721 1.725E-31 3.350E-05.01240.025 2953.96660.76-.002802       a      0       X      0                S 45R 46     d67553552322011 711    95.0   93.0
 71 8109.092985 5.010E-32 3.367E-05.00990.024 3217.46220.76-.002802       a      0       X      0                S 47R 48     d67553552322011 711    99.0   97.0
 71 8114.694435 2.467E-30 8.406E-08.02990.033 1082.99170.71-.001000       a      0       X      0                T 27S 28     q64554252322011 7 9    61.0   57.0
 71 8115.755908 1.377E-32 3.382E-05.00710.024 3491.93490.76-.002802       a      0       X      0                S 49R 50     d67553552322011 711   103.0  101.0
 71 8129.084355 1.187E-30 8.412E-08.02810.032 1245.97190.70-.001000       a      0       X      0                T 29S 30     q64554252322011 7 9    65.0   61.0
 71 8143.258685 5.390E-31 8.424E-08.02630.030 1420.25120.69-.001000       a      0       X      0                T 31S 32     q64554252322011 7 9    69.0   65.0
 71 8157.212885 2.312E-31 8.445E-08.02440.029 1605.80130.68-.001000       a      0       X      0                T 33S 34     q64554252322011 7 9    73.0   69.0
 71 8170.942291 9.365E-32 8.469E-08.02250.028 1802.59200.76-.001000       a      0       X      0                T 35S 36     q64553252322011 7 9    77.0   73.0
 71 8184.442117 3.586E-32 8.501E-08.02040.027 2010.59120.76-.001000       a      0       X      0                T 37S 38     q64553252322011 7 9    81.0   77.0
 71 8197.707454 1.298E-32 8.537E-08.01830.026 2229.76490.76-.001000       a      0       X      0                T 39S 40     q64553252322011 7 9    85.0   81.0
 71 9128.953435 9.454E-32 1.230E-07.02590.031 1803.17370.750.000000       a      1       X      0                O 35P 34     d45554049221411 2 0    67.0   69.0
 71 9145.092735 2.308E-31 1.231E-07.02720.032 1606.34820.760.000000       a      1       X      0                O 33P 32     d45554049221411 2 0    63.0   65.0
 71 9160.953131 5.308E-31 1.231E-07.02860.034 1420.76310.770.000000       a      1       X      0                O 31P 30     d45554049221411 2 0    59.0   61.0
 71 9176.534477 1.150E-30 1.230E-07.03030.035 1246.44860.780.000000       a      1       X      0                O 29P 28     d45554049221411 2 0    55.0   57.0
 71 9191.836511 2.343E-30 1.228E-07.03230.036 1083.43320.780.000000       a      1       X      0                O 27P 26     d46664049221411 2 0    51.0   53.0
 71 9206.858861 4.484E-30 1.224E-07.03450.038  931.74310.800.000000       a      1       X      0                O 25P 24     d46664049221411 2 0    47.0   49.0
