 71 1398.070742 7.069E-33 4.571E-09.03640.039 2340.87400.720.000000       X      2       X      1                O 23O 23     q552220493310 9 4 0    43.0   47.0
 71 1398.083129 7.479E-33 4.572E-09.03640.039 2338.69260.720.000000       X      2       X      1                O 23O 24     q552220493310 9 4 0    45.0   49.0
 71 1405.161732 1.800E-30 1.108E-09.03520.037  933.53090.720.000000       X      1       X      0                O 25P 25     d50222049 110 9 4 0    49.0   51.0
 71 1405.161732 1.187E-32 7.272E-12.03550.037  933.53090.720.000000       X      1       X      0                O 25P 25     q552220493310 9 4 0    49.0   51.0
 71 1407.321248 3.555E-30 2.359E-09.03520.037  931.74310.720.000000       X      1       X      0                O 25O 24     q552220493310 9 4 0    45.0   49.0
 71 1407.343126 3.668E-30 2.351E-09.03520.037  933.53090.720.000000       X      1       X      0                O 25O 25     q552220493310 9 4 0    47.0   51.0
 71 1407.355409 3.866E-30 2.352E-09.03520.037  931.33720.720.000000       X      1       X      0                O 25O 26     q552220493310 9 4 0    49.0   53.0
 71 1409.130888 1.610E-30 1.030E-09.03520.037  931.74310.720.000000       X      1       X      0                O 25P 24     d50222049 110 9 4 0    47.0   49.0
 71 1409.130888 1.279E-32 8.145E-12.03550.037  931.74320.720.000000       X      1       X      0                O 25P 24     q552220493310 9 4 0    47.0   49.0
 71 1410.606753 1.183E-32 4.826E-09.03750.040 2211.52010.720.000000       X      2       X      1                O 21O 20     q552220493310 9 4 0    37.0   41.0
 71 1410.629217 1.230E-32 4.804E-09.03750.040 2213.34780.720.000000       X      2       X      1                O 21O 21     q552220493310 9 4 0    39.0   43.0
 71 1410.641785 1.307E-32 4.805E-09.03750.040 2211.18460.720.000000       X      2       X      1                O 21O 22     q552220493310 9 4 0    41.0   45.0
 71 1417.975875 3.320E-30 1.146E-09.03570.039  793.20870.720.000000       X      1       X      0                O 23P 23     d50222049 110 9 4 0    45.0   47.0
 71 1417.975875 2.623E-32 9.013E-12.03570.039  793.20870.720.000000       X      1       X      0                O 23P 23     q552220493310 9 4 0    45.0   47.0
 71 1420.116961 6.616E-30 2.481E-09.03570.039  791.40310.720.000000       X      1       X      0                O 23O 22     q552220493310 9 4 0    41.0   45.0
 71 1420.139060 6.852E-30 2.471E-09.03570.039  793.20870.720.000000       X      1       X      0                O 23O 23     q552220493310 9 4 0    43.0   47.0
 71 1420.151516 7.249E-30 2.472E-09.03570.039  791.03310.720.000000       X      1       X      0                O 23O 24     q552220493310 9 4 0    45.0   49.0
 71 1421.944643 2.930E-30 1.055E-09.03570.039  791.40310.720.000000       X      1       X      0                O 23P 22     d50222049 110 9 4 0    43.0   45.0
