 1113401.711164 2.498E-27 2.053E-05.09550.412  275.49700.73-.005620          1 4 1          0 0 0  5  1  4        4  1  3      434233837294713152    11.0    9.0
 1113401.814087 1.659E-29 2.929E-05.05150.317 1718.71880.630.000000          0 8 0          0 0 0  9  6  3       10  5  6      3333308387659336 0    57.0   63.0
 1113401.825476 1.644E-30 2.919E-05.09480.451 1813.78760.710.000000          2 5 0          0 1 0  4  3  1        3  2  2      2333308287659336 0     9.0    7.0
 1113401.961428 1.673E-30 1.956E-02.05260.281 3323.26980.48-.040000          3 1 1          0 1 0 10  3  8       11  3  9      332230837294713152    21.0   23.0
 1113401.961638 3.122E-28 2.101E-04.06320.330 1216.18980.620.000000          0 4 2          0 0 0  6  5  1        7  6  2      3333308387659336 0    13.0   15.0
 1213401.992693 3.605E-29 4.082E-03.08330.300 1246.36840.71-.029060          1 2 2          0 0 0  7  2  5        8  5  4      334323807294703152    45.0   51.0
 1113401.995832 1.932E-27 3.251E-05.07750.371  648.97870.66-.009190          2 4 0          0 0 0  5  4  1        6  3  4      434253837294713152    33.0   39.0
 1113402.075834 8.270E-27 2.858E-03.08850.391 1360.23530.76-.020490          4 0 0          0 0 0  8  3  6        9  4  5      454353832760663049    51.0   57.0
 1213402.094041 3.040E-29 2.537E-04.08010.300  604.79280.67-.016100          3 2 0          0 0 0  4  3  2        5  4  1      334343807294703152    27.0   33.0
 1113402.131319 1.182E-30 7.229E-09.07700.424  399.45750.700.000000          0 9 0          0 0 0  4  2  3        5  1  4      2333308287659336 0    27.0   33.0
 1413402.140688 1.213E-29 1.343E-03.05700.351  743.09730.79-.028540          0 2 3          0 0 0 10  2  9        9  2  8      4622235041 88333 7   126.0  114.0
 1113402.184421 2.043E-30 5.439E-06.06670.317 1616.45310.630.000000          2 4 0          0 0 0 11  3  9       10  4  6      3333308387659336 0    23.0   21.0
 1113402.257423 1.060E-29 4.022E-04.08440.371 2271.71220.70-.026780          3 3 0          0 1 0  6  2  5        6  3  4      334233837294713152    39.0   39.0
 1113402.294117 1.346E-29 1.280E-02.03980.236 3084.83570.480.000000         -2 0-2          0 0 0 13  7  6       14  6  9      1333308287659336 0    81.0   87.0
 1413402.342037 2.983E-29 4.237E-04.08830.410  221.94620.79-.020200          1 0 3          0 0 0  6  1  6        5  0  5      4622235041 88333 8    78.0   66.0
 1113402.361095 1.171E-27 2.227E-02.09750.391 2053.96870.75-.009620          2 3 1          0 1 0  4  2  2        5  2  3      434233837294713152    27.0   33.0
 1113402.418260 9.638E-28 6.941E-02.02670.235 2327.88380.22-.040000          3 0 1          0 0 0 13  1 12       14  1 13      334233837294713152    27.0   29.0
 1113402.521176 3.083E-30 7.699E-06.06440.315 1810.58790.63-.024580          0 4 2          0 0 0 10  4  7        9  7  2      332230807294713152    63.0   57.0
 1413402.601518 2.308E-29 4.645E-04.08960.410  293.63650.79-.027620          1 0 3          0 0 0  6  2  5        5  2  4      4622205041 7833348    78.0   66.0
 1113402.645414 9.049E-30 3.248E-05.05880.299 1695.06860.560.000000          3 2 0          0 0 0 12  0 12       11  3  9      3333308387659336 0    25.0   23.0
 1113402.685918 2.964E-28 6.294E-05.08170.315 1282.91910.70-.010930          1 7 0          0 0 0  9  0  9        9  3  6      532230837294713152    57.0   57.0
 1213402.691766 2.693E-29 2.614E-04.05790.254  740.99860.64-.022988          1 4 1          0 0 0  7  3  5        8  1  8      334333807230663110    45.0   51.0
 1113402.709995 8.181E-28 5.056E-05.08080.333 1006.11590.69-.000930          1 4 1          0 0 0  8  3  5        8  3  6      434233837294713152    51.0   51.0
 1213402.779861 2.209E-29 1.139E-04.09110.404  505.72870.73-.018740          3 2 0          0 0 0  4  2  3        5  3  2      332239807294663152    27.0   33.0
 1113402.972696 7.372E-28 3.421E-05.04860.333  744.06370.40-.017590          1 4 1          0 0 0  9  0  9        8  0  8      232230807294713152    19.0   17.0
 1113403.095267 1.222E-30 1.316E-03.05940.371 2733.96290.59-.012970          3 3 0          0 1 0  6  5  1        6  6  0      332230837294713152    13.0   13.0
 1113403.103206 3.471E-30 1.246E-03.05910.371 2733.96260.59-.013330          3 3 0          0 1 0  6  5  2        6  6  1      332230807294713152    39.0   39.0
 1113403.166643 7.190E-27 2.317E-02.08530.300 1616.45310.72-.014530          2 2 1          0 0 0  9  4  5       10  4  6      344333832794703152    19.0   21.0
 1113403.211055 4.553E-27 8.246E-03.08180.315 1474.98080.72-.018730          4 0 0          0 0 0  8  4  4        9  5  5      434243837260713049    17.0   19.0
 1113403.267554 3.146E-30 9.332E-04.07670.352 2724.16710.69-.012940          3 3 0          0 1 0  7  4  3        7  5  2      432230837294713152    45.0   45.0
 1113403.334641 7.300E-27 9.881E-03.06630.350 1437.96860.57-.032180          2 2 1          0 0 0  9  2  7       10  2  8      344423832794703152    19.0   21.0
 1113403.467718 2.050E-29 3.487E-07.08240.395  383.84250.710.000000          0 9 0          0 0 0  4  2  2        4  3  1      2333308287659336 0     9.0    9.0
 1113403.469114 1.820E-28 8.267E-06.09170.371  661.54890.74-.020760          3 2 0          0 0 0  6  0  6        6  3  3      334253837294713152    13.0   13.0
 1113403.519807 3.600E-27 7.287E-04.04600.300 1293.63410.41-.037840          2 2 1          0 0 0 10  0 10       10  2  9      534323832794703152    63.0   63.0
 1113403.527425 4.983E-29 9.969E-06.05010.259 1327.11000.490.000000         -2 4-2          0 0 0 12  0 12       11  0 11      1333308287659336 0    75.0   69.0
 1113403.528744 2.228E-28 1.270E-03.08660.281 1998.99530.80-.028240          4 0 0          0 0 0 11  2  9       11  5  6      434233837260713049    69.0   69.0
 1213403.570351 2.178E-29 7.317E-02.03160.739 2064.67300.21-.040000          3 0 1          0 0 0 13  1 13       14  1 14      334239807225663152    81.0   87.0
 1113403.617618 8.203E-29 1.771E-03.05830.298 2254.28370.59-.013780          1 2 2          0 0 0 10  5  6       10  8  3      334233807294713152    63.0   63.0
 1113403.652919 2.801E-27 6.727E-02.02670.235 2327.91400.22-.040000          3 0 1          0 0 0 13  2 12       14  2 13      334233837294713152    81.0   87.0
 1113403.709111 3.738E-31 3.312E-04.03740.213 2872.58050.430.000000          3 0 1          0 0 0 15  1 14       15  3 13      3333308387659336 0    31.0   31.0
 1113404.028826 1.090E-25 1.021E-02.04170.369 1114.54990.36-.034280          2 2 1          0 0 0  9  1  9       10  1 10      4343238327256631 7    57.0   63.0
 1113404.090411 1.650E-26 8.903E-04.08390.371  888.59870.67-.025340          3 0 1          0 0 0  5  3  3        6  5  2      4543238327287131 7    33.0   39.0
 1113404.246077 4.657E-28 9.891E-05.08360.315 1282.91910.71-.021880          3 0 1          0 0 0  9  1  9        9  3  6      434233837294713152    57.0   57.0
