 51 1985.882641 1.735E-29 4.332E+01.04770.051 5484.36870.67-.002824              3              2                    P 25      47566310 8 5 5 1 8    49.0   51.0
 51 1987.923374 2.940E-26 2.895E+01.04480.047 3909.65620.67-.002813              2              1                    P 30      47562310 8 5 5 1 8    59.0   61.0
 51 1988.914217 2.486E-23 1.449E+01.04220.045 2412.68010.67-.002809              1              0                    P 35      47562310 8 5 5 1 8    69.0   71.0
 51 1990.453682 2.636E-29 4.365E+01.04830.051 5390.37470.67-.002827              3              2                    P 24      47566310 8 5 5 1 8    47.0   49.0
 51 1992.684716 4.948E-26 2.916E+01.04540.048 3796.01490.67-.002815              2              1                    P 29      47562310 8 5 5 1 8    57.0   59.0
 51 1993.862221 4.632E-23 1.460E+01.04270.045 2279.15110.67-.002809              1              0                    P 34      47562310 8 5 5 1 8    67.0   69.0
 51 1994.993237 3.926E-29 4.398E+01.04900.052 5300.11170.67-.002829              3              2                    P 23      47566310 8 5 5 1 8    45.0   47.0
 51 1997.415298 8.167E-26 2.938E+01.04600.049 3686.11980.67-.002817              2              1                    P 28      47562310 8 5 5 1 8    55.0   57.0
 51 1998.780190 8.466E-23 1.471E+01.04320.046 2149.37990.67-.002809              1              0                    P 33      47562310 8 5 5 1 8    65.0   67.0
 51 1999.501160 5.730E-29 4.431E+01.04960.053 5213.58320.67-.002831              3              2                    P 22      47566310 8 5 5 1 8    43.0   45.0
 51 2002.114976 1.322E-25 2.960E+01.04650.049 3579.97510.67-.002819              2              1                    P 27      47562310 8 5 5 1 8    53.0   55.0
 51 2003.667980 1.518E-22 1.482E+01.04380.046 2023.37150.67-.002810              1              0                    P 32      47562310 8 5 5 1 8    63.0   65.0
 51 2003.977306 8.196E-29 4.465E+01.05030.053 5130.79260.67-.002832              3              2                    P 21      47566310 8 5 5 1 8    41.0   43.0
 51 2006.783603 2.098E-25 2.982E+01.04710.050 3477.58510.67-.002822              2              1                    P 26      47562310 8 5 5 1 8    51.0   53.0
 51 2008.421529 1.149E-28 4.499E+01.05100.054 5051.74320.67-.002832              3              2                    P 20      47566310 8 5 5 1 8    39.0   41.0
 51 2008.525447 2.669E-22 1.493E+01.04430.047 1901.13080.67-.002811              1              0                    P 31      47562310 8 5 5 1 8    61.0   63.0
 51 2011.421036 3.266E-25 3.005E+01.04770.051 3378.95370.67-.002824              2              1                    P 25      47562310 8 5 5 1 8    49.0   51.0
 51 2012.833683 1.577E-28 4.534E+01.05170.055 4976.43800.67-.002831              3              2                    P 19      47566310 8 5 5 1 8    37.0   39.0
 51 2013.352445 4.604E-22 1.505E+01.04480.047 1782.66240.67-.002813              1              0                    P 30      47562310 8 5 5 1 8    59.0   61.0
 51 2016.027127 4.982E-25 3.027E+01.04830.051 3284.08460.67-.002827              2              1                    P 24      47562310 8 5 5 1 8    47.0   49.0
 51 2017.213622 2.119E-28 4.570E+01.05240.056 4904.87990.68-.002828              3              2                    P 18      47566310 8 5 5 1 8    35.0   37.0
 51 2018.148829 7.789E-22 1.516E+01.04540.048 1667.97090.67-.002815              1              0                    P 29      47562310 8 5 5 1 8    57.0   59.0
 51 2020.601731 7.449E-25 3.050E+01.04900.052 3192.98150.67-.002829              2              1                    P 23      47562310 8 5 5 1 8    45.0   47.0
